metric,rank,player_name,team_2025_26,projected_value,season
Projected points per game,1,Shai Gilgeous-Alexander,OKC,29.6,2026-27
Projected points per game,2,Luka Dončić,LAL,29.15,2026-27
Projected points per game,3,Nikola Jokić,DEN,28.0,2026-27
Projected points per game,4,Giannis Antetokounmpo,MIL,27.72,2026-27
Projected points per game,5,Tyrese Maxey,PHI,26.47,2026-27
Projected points per game,6,Anthony Edwards,MIN,26.31,2026-27
Projected points per game,7,Jaylen Brown,BOS,26.22,2026-27
Projected points per game,8,Donovan Mitchell,CLE,25.95,2026-27
Projected points per game,9,Kawhi Leonard,LAC,25.95,2026-27
Projected points per game,10,Kevin Durant,HOU,25.88,2026-27
Projected points per game,11,Victor Wembanyama,SAS,25.85,2026-27
Projected points per game,12,Devin Booker,PHX,25.63,2026-27
Projected points per game,13,Jalen Brunson,NYK,25.53,2026-27
Projected points per game,14,Stephen Curry,GSW,25.43,2026-27
Projected points per game,15,Joel Embiid,PHI,25.21,2026-27
Projected points per game,16,Cade Cunningham,DET,24.97,2026-27
Projected points per game,17,Lauri Markkanen,UTA,24.91,2026-27
Projected points per game,18,Jamal Murray,DEN,24.59,2026-27
Projected points per game,19,Paolo Banchero,ORL,22.14,2026-27
Projected points per game,20,Deni Avdija,POR,22.11,2026-27
Projected rebounds per game,1,Victor Wembanyama,SAS,12.42,2026-27
Projected rebounds per game,2,Nikola Jokić,DEN,12.17,2026-27
Projected rebounds per game,3,Karl-Anthony Towns,NYK,10.94,2026-27
Projected rebounds per game,4,Jalen Duren,DET,10.68,2026-27
Projected rebounds per game,5,Donovan Clingan,POR,10.29,2026-27
Projected rebounds per game,6,Rudy Gobert,MIN,10.05,2026-27
Projected rebounds per game,7,Anthony Davis,WAS,9.69,2026-27
Projected rebounds per game,8,Ivica Zubac,IND,9.61,2026-27
Projected rebounds per game,9,Jalen Johnson,ATL,9.58,2026-27
Projected rebounds per game,10,Giannis Antetokounmpo,MIL,9.5,2026-27
Projected rebounds per game,11,Chet Holmgren,OKC,9.31,2026-27
Projected rebounds per game,12,Alperen Sengun,HOU,9.17,2026-27
Projected rebounds per game,13,Bam Adebayo,MIA,9.16,2026-27
Projected rebounds per game,14,Isaiah Hartenstein,OKC,9.15,2026-27
Projected rebounds per game,15,Evan Mobley,CLE,8.99,2026-27
Projected rebounds per game,16,Kel'el Ware,MIA,8.37,2026-27
Projected rebounds per game,17,Jarrett Allen,CLE,8.33,2026-27
Projected rebounds per game,18,Mark Williams,PHX,8.11,2026-27
Projected rebounds per game,19,Deandre Ayton,LAL,8.01,2026-27
Projected rebounds per game,20,Moussa Diabaté,CHA,7.92,2026-27
Projected assists per game,1,Nikola Jokić,DEN,10.17,2026-27
Projected assists per game,2,Cade Cunningham,DET,9.44,2026-27
Projected assists per game,3,Luka Dončić,LAL,8.35,2026-27
Projected assists per game,4,Josh Giddey,CHI,7.99,2026-27
Projected assists per game,5,Jalen Johnson,ATL,7.41,2026-27
Projected assists per game,6,James Harden,CLE,7.32,2026-27
Projected assists per game,7,Ja Morant,MEM,7.18,2026-27
Projected assists per game,8,Shai Gilgeous-Alexander,OKC,7.15,2026-27
Projected assists per game,9,LaMelo Ball,CHA,7.11,2026-27
Projected assists per game,10,Stephon Castle,SAS,6.78,2026-27
Projected assists per game,11,Jamal Murray,DEN,6.75,2026-27
Projected assists per game,12,Jalen Brunson,NYK,6.65,2026-27
Projected assists per game,13,Isaiah Collier,UTA,6.5,2026-27
Projected assists per game,14,Tyrese Maxey,PHI,6.49,2026-27
Projected assists per game,15,LeBron James,LAL,6.37,2026-27
Projected assists per game,16,Darius Garland,LAC,6.36,2026-27
Projected assists per game,17,Andrew Nembhard,IND,6.32,2026-27
Projected assists per game,18,Deni Avdija,POR,6.27,2026-27
Projected assists per game,19,Devin Booker,PHX,6.12,2026-27
Projected assists per game,20,Kevin Porter Jr.,MIL,6.11,2026-27
Projected 3-pointers made per game,1,Stephen Curry,GSW,4.04,2026-27
Projected 3-pointers made per game,2,LaMelo Ball,CHA,3.81,2026-27
