PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,mid_range_fga,mid_range_fg_pct,volume_percentile,efficiency_percentile,MIDRANGE_SCORE
1628983,Shai Gilgeous-Alexander,OKC,5.2,0.549,94.76744186046511,97.67441860465115,96.5
1628973,Jalen Brunson,NYK,4.2,0.502,91.86046511627907,93.02325581395348,92.6
201942,DeMar DeRozan,SAC,6.3,0.476,100.0,81.3953488372093,88.8
201142,Kevin Durant,HOU,5.4,0.482,97.09302325581395,82.55813953488372,88.4
204456,T.J. McConnell,IND,2.8,0.541,70.93023255813954,95.34883720930233,85.6
1627742,Brandon Ingram,TOR,5.4,0.471,97.09302325581395,76.74418604651163,84.9
203954,Joel Embiid,PHI,5.6,0.463,98.83720930232558,69.76744186046511,81.4
1630595,Cade Cunningham,DET,2.8,0.486,70.93023255813954,86.04651162790698,80.0
1626171,Bobby Portis Jr.,MIL,3.2,0.472,81.3953488372093,78.48837209302324,79.7
202695,Kawhi Leonard,LAC,4.0,0.464,89.53488372093024,70.93023255813954,78.4
1629060,Rui Hachimura,LAL,2.1,0.556,46.51162790697674,98.83720930232558,77.9
1626164,Devin Booker,PHX,5.1,0.458,93.02325581395348,67.44186046511628,77.7
201939,Stephen Curry,GSW,2.2,0.51,49.41860465116279,94.18604651162791,76.3
1628378,Donovan Mitchell,CLE,2.4,0.494,57.55813953488372,88.37209302325581,76.0
1630170,Devin Vassell,SAS,2.4,0.488,57.55813953488372,87.20930232558139,75.3
203468,CJ McCollum,ATL,2.8,0.469,70.93023255813954,75.5813953488372,73.7
1627750,Jamal Murray,DEN,3.5,0.455,84.30232558139535,64.53488372093024,72.4
1629645,Kevin Porter Jr.,MIL,2.8,0.467,70.93023255813954,72.67441860465115,72.0
202331,Paul George,PHI,3.3,0.455,82.55813953488372,64.53488372093024,71.7
202699,Tobias Harris,DET,2.0,0.496,41.86046511627907,90.69767441860465,71.2
203999,Nikola Jokić,DEN,1.8,0.559,25.0,100.0,70.0
1630224,Jalen Green,PHX,2.8,0.461,70.93023255813954,68.6046511627907,69.5
1629029,Luka Dončić,LAL,3.7,0.443,86.62790697674419,58.139534883720934,69.5
1642848,Tre Johnson,WAS,1.9,0.495,34.883720930232556,89.53488372093024,67.7
1630162,Anthony Edwards,MIN,3.9,0.433,88.37209302325581,51.162790697674424,66.0
203114,Khris Middleton,DAL,3.1,0.441,78.48837209302324,56.97674418604651,65.6
1627759,Jaylen Brown,BOS,5.2,0.413,94.76744186046511,43.02325581395349,63.7
1627749,Dejounte Murray,NOP,1.6,0.545,11.046511627906977,96.51162790697676,62.3
1629027,Trae Young,WAS,1.7,0.5,16.86046511627907,91.86046511627907,61.9
1642845,VJ Edgecombe,PHI,1.8,0.485,25.0,84.88372093023256,60.9
1628415,Dillon Brooks,PHX,4.1,0.41,90.69767441860465,40.69767441860465,60.7
1630217,Desmond Bane,ORL,1.8,0.483,25.0,83.72093023255815,60.2
1630567,Scottie Barnes,TOR,2.4,0.446,57.55813953488372,59.883720930232556,59.0
