target,model,mae,rmse,r2,test_season
PTS,Previous Season Baseline,2.8501182033096923,3.5968925385401977,0.7081169107718808,2025-26
PTS,Ridge Regression,2.6633261308947174,3.3579812931900115,0.745603839125532,2025-26
PTS,Random Forest,2.65783799889506,3.3616985720365884,0.7450402952534427,2025-26
REB,Previous Season Baseline,0.9865248226950354,1.3006908511661517,0.7055307800289858,2025-26
REB,Ridge Regression,0.8883007629806273,1.155564064645252,0.767576631774147,2025-26
REB,Random Forest,0.9258046064554555,1.2014220627184629,0.7487633806318856,2025-26
AST,Previous Season Baseline,0.719385342789598,1.0000118202611101,0.7207025668551966,2025-26
AST,Ridge Regression,0.686031634838599,0.951320649677107,0.7472387321801879,2025-26
AST,Random Forest,0.6869283292760967,0.9392067805655977,0.7536349395788962,2025-26
FG3M,Previous Season Baseline,0.37872340425531914,0.5232197103017306,0.6581692710899387,2025-26
FG3M,Ridge Regression,0.3823180570605052,0.5090267965006352,0.6764628170603866,2025-26
FG3M,Random Forest,0.3745803465192472,0.5049285704733645,0.6816515062256719,2025-26
STL,Previous Season Baseline,0.2314420803782506,0.29619334302765943,0.4437701310712122,2025-26
STL,Ridge Regression,0.20277369488292665,0.2601467507197054,0.5709177680571744,2025-26
STL,Random Forest,0.21153130431778877,0.2715072922501763,0.5326236674615572,2025-26
BLK,Previous Season Baseline,0.16973995271867612,0.2333839863966313,0.6793451295987998,2025-26
BLK,Ridge Regression,0.15797805329673997,0.21493825989978643,0.728028628981551,2025-26
BLK,Random Forest,0.16582407218615638,0.22712173220188417,0.6963221493297027,2025-26
